Tabela 2623 - Resultados dos serviços de informação e comunicação - CNAE 2.0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
2013,19881388,A,425514,B,350714,A,19806588,A,10954946,A,858595,B,112817,B,2316045,A,416226,A,21289,A,217206,A,167554,A,6845214,A,8851642,A,5817975,A,3986996,A,764096,A,299319,A,32907,A,251879,A,482693,A,85,D,3033666,A,116325,A,12873,B
2014,19883622,A,396830,A,510096,A,19996888,A,10794120,A,454022,B,56563,A,2305731,A,397507,A,25345,A,216728,A,168382,A,7169842,A,9202768,A,5693106,A,4153153,A,456215,A,314427,A,35006,A,236141,A,498099,A,65,C,3509662,A,113822,A,12728,B
2015,18914541,A,290659,B,476302,A,19100184,A,10916262,A,886174,B,54208,A,2351312,A,448504,B,27787,B,203805,A,213859,A,6730613,A,8183922,A,5674256,A,4063953,A,433544,A,314892,A,31739,A,301097,A,528940,A,91,C,2509667,B,107858,A,12773,B
2016,17967332,A,304329,B,451351,A,18114354,A,10146565,A,426937,B,56098,B,2065383,A,448934,B,18891,A,153773,A,199902,A,6776647,B,7967789,A,5313026,A,3835379,A,419772,A,292134,A,25621,B,247666,A,491983,A,471,C,2654763,B,92338,A,12313,B
2017,16776945,A,221251,A,318449,A,16874143,A,8917158,A,829058,A,45067,B,1977385,A,350906,A,20769,B,158339,C,175625,A,5360009,A,7956986,A,5190536,A,3774018,A,420723,A,274483,A,25553,B,211548,A,483998,A,213,A,2766449,B,84263,A,10496,B
2018,16756590,A,484630,B,315968,B,16587928,A,8783725,A,752821,B,50532,A,1990438,B,364740,B,16414,B,135746,A,172261,A,5300773,A,7804201,A,5253397,A,3706962,A,460158,A,272822,A,18975,B,267964,A,521788,A,4728,C,2550803,B,79753,A,10382,B
2019,16955229,B,333899,B,272253,B,16893583,B,8796078,B,666521,B,55344,B,1912423,C,268940,B,14586,A,108663,A,738397,E,5031204,A,8097504,B,4625041,A,3288445,A,379913,A,250124,A,18411,C,214873,A,473171,A,104,D,3472463,C,76169,A,10719,B
2020,15192355,A,405974,B,383668,B,15170049,A,7669090,B,695733,C,27064,B,1882890,B,280552,B,17577,C,97423,B,141448,A,4526403,A,7500959,B,4377392,A,3001848,A,399990,A,227905,A,15962,B,247356,B,484319,B,12,D,3123566,B,60099,A,7247,B
2021,16544503,A,524743,B,231425,B,16251185,A,8904022,A,768399,B,45551,B,2136003,B,225935,A,22147,B,98588,B,138046,A,5469353,A,7347163,A,4367790,A,3106444,A,386795,A,219111,A,17092,B,204961,A,433341,A,46,E,2979374,B,59783,A,8884,B
Fonte: IBGE - Pesquisa Anual de Serviços,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
