Tabela 2623 - Resultados dos serviços de informação e comunicação - CNAE 2.0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
2013,37655674,A,57091,C,812905,A,38411488,A,20060988,A,1905380,A,66010,A,5336743,A,955854,A,41871,A,307847,A,403585,B,11043698,A,18350501,A,8441813,A,5775867,A,1112650,A,433532,A,55256,A,286038,A,778342,A,128,A,9908686,A,133512,A,15347,A
2014,41145370,A,41995,A,1018434,A,42121809,A,22432768,A,2062135,B,102455,D,5507106,A,959307,A,40059,A,326001,A,424816,A,13010889,A,19689042,A,8740904,A,6472677,A,579369,A,474093,A,58501,A,287110,A,869036,A,118,B,10948137,A,142379,A,16718,A
2015,41302901,A,48867,A,875212,B,42129246,A,22705134,A,1990563,A,80374,A,5414477,A,1123692,A,41585,A,291488,A,593713,A,13169242,A,19424112,A,9554240,A,6928146,A,669404,A,506841,A,55681,A,426462,A,967494,A,212,D,9869873,A,139197,A,15953,B
2016,41168018,A,54537,B,1018807,A,42132288,A,24542813,A,2020231,A,96100,B,5607776,A,1166592,A,41815,B,303560,A,678825,A,14627914,A,17589474,A,9554356,A,6946171,A,693614,A,509641,A,30895,A,357475,A,1016447,A,113,B,8035118,B,134715,A,15593,B
2017,40880810,A,63163,B,1218572,B,42036219,A,23954159,A,2018261,B,80765,A,5545508,A,1224596,A,37583,A,280637,A,599937,A,14166872,A,18082061,A,9951530,A,7156086,A,730987,A,527269,A,34032,A,423362,A,1079728,A,66,C,8130532,A,126836,A,15591,B
2018,41534448,A,42134,A,1084217,A,42576531,A,25306241,A,2108468,A,86028,B,5849759,A,1148025,A,42161,A,292201,A,642943,A,15136656,A,17270292,A,10451981,A,7410024,A,726284,A,544582,A,129046,A,496477,A,1143502,A,2066,E,6818311,A,127211,A,15363,B
2019,41781559,A,89295,B,1363965,D,43056229,A,25458631,A,2448531,A,75283,A,5475834,A,1237721,B,48010,B,320712,B,701648,B,15150892,A,17597598,A,10791126,A,7633148,A,740874,B,547017,A,145221,A,524627,A,1200054,A,185,C,6806471,B,127067,A,15531,B
2020,35996980,B,24307,B,1061513,B,37034186,B,21509263,B,1719865,B,64835,A,5817956,C,1020725,C,65378,B,318091,A,553562,A,11948851,A,15524923,A,10198999,A,7233259,A,641054,A,515514,A,132711,A,537234,A,1137539,A,1688,E,5325925,B,111386,A,14452,B
2021,44472117,A,85123,C,1077980,A,45464974,A,27367491,B,2406440,C,91065,B,6640329,B,1150103,B,67319,C,320076,A,596225,A,16095934,A,18097483,A,10988484,A,7901910,A,728143,A,522770,A,38923,A,584590,A,1211855,A,293,A,7109000,B,117794,A,17183,B
Fonte: IBGE - Pesquisa Anual de Serviços,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
